t, 135.75709427462425, ax, -492.8481140136719, ay, -49.25044250488281, wz, -0.16120554506778717
t, 135.8560942740878, ax, -6.570746421813965, ay, -48.976219177246094, wz, -0.1370256096124649
t, 135.95509427355137, ax, 0.20540809631347656, ay, -41.9858512878418, wz, -0.1168886199593544
t, 136.05409427301493, ax, -4.036375045776367, ay, -80.05787658691406, wz, -0.18393726646900177
t, 136.15309427247848, ax, -6.742092132568359, ay, -190.52378845214844, wz, -0.18115746974945068
t, 136.25209427194204, ax, 6.298152923583984, ay, -71.10337829589844, wz, -0.15491929650306702
t, 136.3510942714056, ax, -6.360716819763184, ay, -49.55244827270508, wz, -0.13229288160800934
t, 136.45009427086916, ax, -11.680988311767578, ay, -131.76470947265625, wz, -0.21523995697498322
t, 136.557344270288, ax, 493.282958984375, ay, -201.6932373046875, wz, -0.19183173775672913
t, 136.65634426975157, ax, -489.0202331542969, ay, -55.6036376953125, wz, -0.16373983025550842
t, 136.75534426921513, ax, -8.872641563415527, ay, -52.041019439697266, wz, -0.14020980894565582
t, 136.8543442686787, ax, -11.010622024536133, ay, -154.62249755859375, wz, -0.2284480631351471
t, 136.95334426814225, ax, 3.8238258361816406, ay, -171.8629150390625, wz, -0.20370355248451233
t, 137.0523442676058, ax, 0.7237014770507812, ay, -71.46565246582031, wz, -0.17417699098587036
t, 137.15134426706936, ax, -9.479602813720703, ay, -57.23591613769531, wz, -0.15883062779903412
t, 137.25034426653292, ax, -14.953971862792969, ay, -210.76736450195312, wz, -0.23793049156665802
t, 137.35759426595178, ax, 500.8759460449219, ay, -160.8909149169922, wz, -0.20415370166301727
t, 137.45659426541533, ax, -496.75714111328125, ay, -54.86676025390625, wz, -0.17462410032749176
t, 137.5555942648789, ax, -11.676515579223633, ay, -88.21753692626953, wz, -0.22934775054454803
t, 137.65459426434245, ax, -9.189262390136719, ay, -228.70040893554688, wz, -0.23503239452838898
t, 137.753594263806, ax, 9.73004150390625, ay, -95.87535095214844, wz, -0.2018662691116333
t, 137.85259426326957, ax, -9.802425384521484, ay, -65.6268310546875, wz, -0.1728644222021103
t, 137.95159426273312, ax, -12.347719192504883, ay, -115.65499877929688, wz, -0.24590110778808594
t, 138.05059426219668, ax, -3.565028190612793, ay, -214.9529571533203, wz, -0.2317505180835724
